test_file,precision@3,precision@5,precision@10,average_precision
liver_73.nii.gz,0.0,0.0,0.0,0
lung_070.nii.gz,0.0,0.0,0.0,0
lung_061.nii.gz,0.0,0.0,0.0,0
lung_029.nii.gz,0.0,0.0,0.0,0
pancreas_345.nii.gz,0.0,0.0,0.0,0
pancreas_304.nii.gz,0.0,0.0,0.0,0
pancreas_165.nii.gz,0.0,0.0,0.0,0
pancreas_102.nii.gz,0.0,0.0,0.0,0
pancreas_191.nii.gz,0.0,0.0,0.0,0
pancreas_261.nii.gz,0.0,0.0,0.0,0
pancreas_021.nii.gz,0.0,0.0,0.0,0
pancreas_098.nii.gz,0.0,0.0,0.0,0
pancreas_279.nii.gz,0.0,0.0,0.0,0
pancreas_005.nii.gz,0.0,0.0,0.0,0
pancreas_045.nii.gz,0.0,0.0,0.0,0
pancreas_204.nii.gz,0.0,0.0,0.0,0
pancreas_214.nii.gz,0.0,0.0,0.0,0
pancreas_292.nii.gz,0.0,0.0,0.0,0
pancreas_198.nii.gz,0.0,0.0,0.0,0
pancreas_056.nii.gz,0.0,0.0,0.0,0
pancreas_125.nii.gz,0.0,0.0,0.0,0
pancreas_339.nii.gz,0.0,0.0,0.0,0
pancreas_392.nii.gz,0.0,0.0,0.0,0
pancreas_095.nii.gz,0.0,0.0,0.0,0
pancreas_298.nii.gz,0.0,0.0,0.0,0
pancreas_331.nii.gz,0.0,0.0,0.0,0
pancreas_372.nii.gz,0.0,0.0,0.0,0
pancreas_411.nii.gz,0.0,0.0,0.0,0
pancreas_311.nii.gz,0.0,0.0,0.0,0
pancreas_096.nii.gz,0.0,0.0,0.0,0
pancreas_042.nii.gz,0.0,0.0,0.0,0
pancreas_287.nii.gz,0.0,0.0,0.0,0
